Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,63.355mm,7.245000mm,Bottom,0.0,63.355mm,7.245000mm
C1,12.535mm,3.345000mm,Bottom,0.0,12.535mm,3.345000mm
C2,12.535mm,5.345000mm,Bottom,0.0,12.535mm,5.345000mm
C3,12.535mm,7.345000mm,Bottom,0.0,12.535mm,7.345000mm
C4,12.535mm,9.345000mm,Bottom,0.0,12.535mm,9.345000mm
C5,12.535mm,11.345000mm,Bottom,0.0,12.535mm,11.345000mm
C6,16.535mm,3.345000mm,Bottom,180.0,16.535mm,3.345000mm
C7,16.535mm,5.345000mm,Bottom,180.0,16.535mm,5.345000mm
C8,16.535mm,7.345000mm,Bottom,180.0,16.535mm,7.345000mm
C9,16.535mm,9.345000mm,Bottom,180.0,16.535mm,9.345000mm
C10,16.535mm,11.345000mm,Bottom,180.0,16.535mm,11.345000mm
C11,12.665mm,1.885000mm,Bottom,0.0,12.665mm,1.885000mm
C14,3.815mm,12.940000mm,Bottom,0.0,3.815mm,12.940000mm
C15,3.815mm,14.940000mm,Bottom,0.0,3.815mm,14.940000mm
C16,3.815mm,16.940000mm,Bottom,0.0,3.815mm,16.940000mm
C17,3.815mm,18.940000mm,Bottom,0.0,3.815mm,18.940000mm
C18,3.815mm,20.940000mm,Bottom,0.0,3.815mm,20.940000mm
C19,7.815mm,12.940000mm,Bottom,180.0,7.815mm,12.940000mm
C20,7.815mm,14.940000mm,Bottom,180.0,7.815mm,14.940000mm
C21,7.815mm,16.940000mm,Bottom,180.0,7.815mm,16.940000mm
C22,7.815mm,18.940000mm,Bottom,180.0,7.815mm,18.940000mm
C23,7.815mm,20.940000mm,Bottom,180.0,7.815mm,20.940000mm
C24,3.925mm,11.479993mm,Bottom,0.0,3.925mm,11.479993mm
D1,52.215mm,7.065000mm,Bottom,-90.0,52.215mm,7.065000mm
D4,6.96mm,24.515000mm,Bottom,0.0,6.96mm,24.515000mm
D5,6.955mm,32.125000mm,Bottom,0.0,6.955mm,32.125000mm
F1,25.185mm,18.865000mm,Bottom,90.0,25.185mm,18.865000mm
F2,23.515mm,13.905000mm,Bottom,0.0,23.515mm,13.905000mm
F3,23.515mm,11.775000mm,Bottom,180.0,23.515mm,11.775000mm
F4,23.505mm,9.645000mm,Bottom,180.0,23.505mm,9.645000mm
F5,4.915mm,63.135000mm,Bottom,90.0,4.915mm,63.135000mm
F6,13.365mm,73.555000mm,Bottom,90.0,13.365mm,73.555000mm
F7,33.24mm,53.110000mm,Bottom,0.0,33.24mm,53.110000mm
F8,33.275mm,44.045000mm,Bottom,0.0,33.275mm,44.045000mm
F9,33.26mm,37.040000mm,Bottom,0.0,33.26mm,37.040000mm
F10,33.27mm,29.950000mm,Bottom,0.0,33.27mm,29.950000mm
G2,93.949651mm,6.132713mm,Bottom,180.0,93.949651mm,6.132713mm
M7,100.004997mm,69.707500mm,Bottom,180.0,100.004997mm,69.707500mm
R1,103.695mm,35.795000mm,Bottom,0.0,103.695mm,35.795000mm
R2,25.605mm,7.915000mm,Bottom,0.0,25.605mm,7.915000mm
R3,21.285mm,7.915000mm,Bottom,0.0,21.285mm,7.915000mm
R4,46.805mm,4.355000mm,Bottom,90.0,46.805mm,4.355000mm
R5,103.035mm,31.705000mm,Bottom,90.0,103.035mm,31.705000mm
R6,88.075mm,68.385000mm,Bottom,180.0,88.075mm,68.385000mm
R12,2.105mm,24.825000mm,Bottom,0.0,2.105mm,24.825000mm
R13,2.085mm,31.695000mm,Bottom,0.0,2.085mm,31.695000mm
R17,15.3975mm,70.171250mm,Bottom,-90.0,15.3975mm,70.171250mm
R18,6.93mm,59.778750mm,Bottom,-90.0,6.93mm,59.778750mm
R19,30.05mm,50.910000mm,Bottom,180.0,30.05mm,50.910000mm
R20,11.9075mm,67.641250mm,Bottom,-90.0,11.9075mm,67.641250mm
R21,3.44mm,57.178750mm,Bottom,-90.0,3.44mm,57.178750mm
R22,27.48mm,54.420000mm,Bottom,180.0,27.48mm,54.420000mm
R23,30.045mm,41.705000mm,Bottom,180.0,30.045mm,41.705000mm
R24,30.06mm,34.710000mm,Bottom,180.0,30.06mm,34.710000mm
R25,28.235mm,28.835000mm,Bottom,180.0,28.235mm,28.835000mm
R26,27.485mm,45.205000mm,Bottom,180.0,27.485mm,45.205000mm
R27,27.5mm,38.200000mm,Bottom,180.0,27.5mm,38.200000mm
R28,27.5mm,31.190000mm,Bottom,180.0,27.5mm,31.190000mm
R29,2.085mm,34.165000mm,Bottom,0.0,2.085mm,34.165000mm
R30,2.085mm,40.915000mm,Bottom,0.0,2.085mm,40.915000mm
R33,2.085mm,43.395000mm,Bottom,0.0,2.085mm,43.395000mm
R34,2.085mm,50.175000mm,Bottom,0.0,2.085mm,50.175000mm
R35,105.895021mm,58.645000mm,Bottom,180.0,105.895021mm,58.645000mm
R36,105.895021mm,61.145000mm,Bottom,180.0,105.895021mm,61.145000mm
R37,105.895021mm,63.645000mm,Bottom,180.0,105.895021mm,63.645000mm
R38,102.445021mm,58.645000mm,Bottom,180.0,102.445021mm,58.645000mm
R39,102.445021mm,61.145000mm,Bottom,180.0,102.445021mm,61.145000mm
R40,102.445021mm,63.645000mm,Bottom,180.0,102.445021mm,63.645000mm
U8,4.44mm,28.320000mm,Bottom,270.0,4.44mm,28.320000mm
U9,4.455mm,37.535000mm,Bottom,270.0,4.455mm,37.535000mm
U11,4.455mm,46.755000mm,Bottom,270.0,4.455mm,46.755000mm
C12,18.365000mm,14.115000mm,Top,180.0,18.365000mm,14.115000mm
C13,15.715000mm,14.405000mm,Top,0.0,15.715000mm,14.405000mm
C25,10.375000mm,14.795000mm,Top,-90.0,10.375000mm,14.795000mm
C26,10.375000mm,19.705000mm,Top,90.0,10.375000mm,19.705000mm
C27,66.185000mm,60.289994mm,Top,180.0,66.185000mm,60.289994mm
