Designator,Mid X,Mid Y,Layer,Rotation
BT1,63.355mm,7.245mm,Bottom,0.0
C12,9.805mm,20.27mm,Bottom,270.0
C13,9.845mm,15.785mm,Bottom,270.0
C25,14.165mm,14.279994mm,Bottom,0.0
C26,17.095001mm,14.415mm,Bottom,0.0
D1,52.215mm,7.065mm,Bottom,270.0
D4,6.96mm,24.515mm,Bottom,0.0
D5,6.955mm,32.125mm,Bottom,0.0
F1,25.185mm,18.865mm,Bottom,90.0
F2,23.505mm,13.915mm,Bottom,0.0
F3,23.505mm,9.645mm,Bottom,180.0
F4,23.515mm,11.775mm,Bottom,180.0
G2,93.949651mm,6.132713mm,Bottom,180.0
Q7,11.985mm,68.325mm,Bottom,90.0
Q8,4.0675mm,58.065mm,Bottom,90.0
Q9,28.855mm,55.455mm,Bottom,0.0
Q10,28.87mm,46.235mm,Bottom,0.0
Q11,28.88mm,39.225mm,Bottom,0.0
Q12,28.88mm,32.225mm,Bottom,0.0
R1,103.695mm,35.795mm,Bottom,0.0
R2,25.605mm,7.915mm,Bottom,0.0
R3,21.285mm,7.915mm,Bottom,0.0
R4,46.805mm,4.355mm,Bottom,90.0
R5,103.035mm,31.705mm,Bottom,90.0
R6,88.075mm,68.385mm,Bottom,180.0
R7,9.355mm,1.605mm,Bottom,180.0
R9,2.145mm,9.115mm,Bottom,180.0
R12,2.105mm,24.825mm,Bottom,0.0
R13,2.085mm,31.695mm,Bottom,0.0
R29,2.085mm,34.165mm,Bottom,0.0
R30,2.085mm,40.915mm,Bottom,0.0
R33,2.085mm,43.395mm,Bottom,0.0
R34,2.085mm,50.175mm,Bottom,0.0
R35,105.895021mm,58.645mm,Bottom,180.0
R36,105.895021mm,61.145mm,Bottom,180.0
R37,105.895021mm,63.645mm,Bottom,180.0
R38,102.445021mm,58.645mm,Bottom,180.0
R39,102.445021mm,61.145mm,Bottom,180.0
R40,102.445021mm,63.645mm,Bottom,180.0
U1,5.055mm,16.42mm,Bottom,270.0
U2,13.665mm,7.405mm,Bottom,270.0
U8,4.44mm,28.32mm,Bottom,270.0
U9,4.455mm,37.535mm,Bottom,270.0
U11,4.455mm,46.755mm,Bottom,270.0
C1,3.555mm,20.47mm,Top,0.0
C2,3.555mm,18.48mm,Top,0.0
C3,3.555mm,16.48mm,Top,0.0
C4,3.555mm,14.48mm,Top,0.0
C5,3.555mm,12.48mm,Top,0.0
C6,7.555mm,20.48mm,Top,180.0
C7,7.555mm,18.48mm,Top,180.0
C8,7.555mm,16.48mm,Top,180.0
C9,7.555mm,14.48mm,Top,180.0
C10,7.555mm,12.48mm,Top,180.0
C11,3.685mm,11.205mm,Top,0.0
C14,12.165mm,11.47mm,Top,0.0
C15,12.165mm,9.47mm,Top,0.0
C16,12.165mm,7.47mm,Top,0.0
C17,12.165mm,5.47mm,Top,0.0
C18,12.165mm,3.47mm,Top,0.0
C19,16.165mm,11.47mm,Top,180.0
C20,16.165mm,9.47mm,Top,180.0
C21,16.165mm,7.47mm,Top,180.0
C22,16.165mm,5.47mm,Top,180.0
C23,16.165mm,3.47mm,Top,180.0
C24,12.295mm,2.010006mm,Top,0.0
C27,62.955mm,62.055mm,Top,270.0
C28,89.135mm,12.075mm,Top,0.0
C29,92.485mm,12.075mm,Top,0.0
C30,95.815mm,12.075mm,Top,180.0
C31,99.715mm,3.315mm,Top,90.0
C32,98.419994mm,3.315mm,Top,90.0
C33,58.185mm,15.69mm,Top,180.0
D2,6.955mm,32.125mm,Top,0.0
