Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR1220","CR1220-2",-63.355000,7.245000,0.000000,bottom
"C12","10n","C0603",-9.805000,20.270000,-90.000000,bottom
"C13","10n","C0603",-9.845000,15.785000,-90.000000,bottom
"C25","10n","C0603",-14.165000,14.279994,0.000000,bottom
"C26","10n","C0603",-17.095001,14.415000,0.000000,bottom
"D1","1N4148WS","SOD-323",-52.215000,7.065000,-90.000000,bottom
"D4","B5819W","SOD-123",-6.960000,24.515000,0.000000,bottom
"D5","B5819W","SOD-123",-6.955000,32.125000,0.000000,bottom
"F1","12H1500D","PAD-1206-PAD",-25.185000,18.865000,90.000000,bottom
"F2","12H1500D","PAD-1206-PAD",-23.505000,13.915000,0.000000,bottom
"F3","12H1500D","PAD-1206-PAD",-23.505000,9.645000,180.000000,bottom
"F4","12H1500D","PAD-1206-PAD",-23.515000,11.775000,180.000000,bottom
"G2","LOGO","LOGO",-93.949651,6.132713,180.000000,bottom
"M7","Module-can-0.1","can",-100.004997,69.707500,180.000000,bottom
"Q7","ISL9V3040D3ST","TO-252-2",-11.985000,68.325000,-90.000000,bottom
"Q8","ISL9V3040D3ST","TO-252-2",-4.067500,58.065000,-90.000000,bottom
"Q9","ISL9V3040D3ST","TO-252-2",-28.855000,55.455000,180.000000,bottom
"Q10","ISL9V3040D3ST","TO-252-2",-28.870000,46.235000,180.000000,bottom
"Q11","ISL9V3040D3ST","TO-252-2",-28.880000,39.225000,180.000000,bottom
"Q12","ISL9V3040D3ST","TO-252-2",-28.880000,32.225000,180.000000,bottom
"R1","4.7k","R0603",-103.695000,35.795000,0.000000,bottom
"R2","33k","R0603",-25.605000,7.915000,0.000000,bottom
"R3","6.8k","R0603",-21.285000,7.915000,0.000000,bottom
"R4","Jumper-Pad-Pad","PAD-0805-PAD",-46.805000,4.355000,90.000000,bottom
"R5","0","R0603",-103.035000,31.705000,90.000000,bottom
"R6","0","R0603",-88.075000,68.385000,180.000000,bottom
"R7","4.7k","R0603",-9.355000,1.605000,180.000000,bottom
"R9","4.7k","R0603",-2.145000,9.115000,180.000000,bottom
"R12","4.7k","R0603",-2.105000,24.825000,0.000000,bottom
"R13","4.7k","R0603",-2.085000,31.695000,0.000000,bottom
"R29","4.7k","R0603",-2.085000,34.165000,0.000000,bottom
"R30","4.7k","R0603",-2.085000,40.915000,0.000000,bottom
"R33","4.7k","R0603",-2.085000,43.395000,0.000000,bottom
"R34","4.7k","R0603",-2.085000,50.175000,0.000000,bottom
"R35","10k","R0805",-105.895021,58.645000,180.000000,bottom
"R36","10k","R0805",-105.895021,61.145000,180.000000,bottom
"R37","10k","R0805",-105.895021,63.645000,180.000000,bottom
"R38","10k","R0805",-102.445021,58.645000,180.000000,bottom
"R39","10k","R0805",-102.445021,61.145000,180.000000,bottom
"R40","10k","R0805",-102.445021,63.645000,180.000000,bottom
"U1","TLE9201SG","Infineon_PG-DSO-12-11",-5.055000,16.420000,-90.000000,bottom
"U2","TLE9201SG","Infineon_PG-DSO-12-11",-13.665000,7.405000,-90.000000,bottom
"U8","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-4.440000,28.320000,0.000000,bottom
"U9","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-4.455000,37.535000,0.000000,bottom
"U11","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-4.455000,46.755000,0.000000,bottom
"C1","10u","C0805",3.555000,20.470000,0.000000,top
"C2","10u","C0805",3.555000,18.480000,0.000000,top
"C3","10u","C0805",3.555000,16.480000,0.000000,top
"C4","10u","C0805",3.555000,14.480000,0.000000,top
"C5","10u","C0805",3.555000,12.480000,0.000000,top
"C6","10u","C0805",7.555000,20.480000,180.000000,top
"C7","10u","C0805",7.555000,18.480000,180.000000,top
"C8","10u","C0805",7.555000,16.480000,180.000000,top
"C9","10u","C0805",7.555000,14.480000,180.000000,top
"C10","10u","C0805",7.555000,12.480000,180.000000,top
"C11","100n","C0603",3.685000,11.205000,0.000000,top
"C14","10u","C0805",12.165000,11.470000,0.000000,top
"C15","10u","C0805",12.165000,9.470000,0.000000,top
"C16","10u","C0805",12.165000,7.470000,0.000000,top
"C17","10u","C0805",12.165000,5.470000,0.000000,top
"C18","10u","C0805",12.165000,3.470000,0.000000,top
"C19","10u","C0805",16.165000,11.470000,180.000000,top
"C20","10u","C0805",16.165000,9.470000,180.000000,top
"C21","10u","C0805",16.165000,7.470000,180.000000,top
"C22","10u","C0805",16.165000,5.470000,180.000000,top
"C23","10u","C0805",16.165000,3.470000,180.000000,top
"C24","100n","C0603",12.295000,2.010006,0.000000,top
"C27","100n","C0603",62.955000,62.055000,-90.000000,top
"C28","10n","C0603",89.135000,12.075000,0.000000,top
"C29","100n","C0603",92.485000,12.075000,0.000000,top
"C30","10n","C0603",95.815000,12.075000,180.000000,top
"C31","100n","C0603",99.715000,3.315000,90.000000,top
"C32","1u","C0603",98.419994,3.315000,90.000000,top
"C33","100n","C0603",58.185000,15.690000,180.000000,top
"D2","B5819W","SOD-123",6.955000,32.125000,0.000000,top
"D3","B5819W","SOD-123",6.960000,24.515000,0.000000,top
"D8","NUP2105L","SOT-23",92.475000,14.695000,90.000000,top
"F5","50mA","Fuse_0603_1608Metric",5.025000,63.125000,90.000000,top
"F6","50mA","Fuse_0603_1608Metric",11.235000,73.355000,90.000000,top
"F7","50mA","Fuse_0603_1608Metric",33.885000,54.475000,0.000000,top
"F8","50mA","Fuse_0603_1608Metric",33.915000,45.275000,0.000000,top
"F9","50mA","Fuse_0603_1608Metric",33.885000,38.205000,0.000000,top
"F10","50mA","Fuse_0603_1608Metric",33.795000,31.245000,0.000000,top
"G1","RUSEFI_LOGO","rusefi_logo",79.895000,64.305000,0.000000,top
"G3","PROTO_AREA","PROTO_AREA",39.625000,36.155000,90.000000,top
"G4","PROTO_AREA","PROTO_AREA",39.625000,48.855000,90.000000,top
"J1","AMPSeal-35-verticale-nero","ampseal-35-mia-con-pad-GND",16.355000,38.455000,90.000000,top
"J2","AMPSeal-35-verticale-bianco","ampseal-35-mia-con-pad-GND",92.475000,38.455000,-90.000000,top
"J3","Conn_01x04_Pin","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",50.425000,6.095000,90.000000,top
"J6","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",60.175000,75.475000,90.000000,top
"J8","USB_B_Mini","USB-MINI-B-VERTICAL",51.625000,16.945000,0.000000,top
"L1","470R@100MHz","L_0603_1608Metric",95.815000,13.845000,180.000000,top
"L2","470R@100MHz","L_0603_1608Metric",89.135000,13.845000,0.000000,top
"M1","Module-power_12and5V-0.2","power_12and5V",27.789999,2.139999,0.000000,top
"M2","Module-knock-0.2","knock",99.215000,69.085000,180.000000,top
"M3","Module-vr-discrete-0.5","vr-discrete",108.655000,14.800000,90.000000,top
"M4","Module-vr-max9924-0.1","vr-max9924",108.610000,36.765000,90.000000,top
"M5","Module-wbo-0.5","wbo",56.410000,76.625000,180.000000,top
"M6","Module:mega-mcu100/0.3","mega-mcu100",82.085000,56.684990,180.000000,top
"P1","Pad","PAD-TH",85.025000,28.465000,0.000000,top
"P2","Pad","PAD-TH",85.025000,25.685000,0.000000,top
"P3","Pad","PAD-TH",64.005000,17.385000,0.000000,top
"P4","Pad","PAD-TH",61.505000,17.385000,0.000000,top
"P5","Pad","PAD-TH",106.455000,31.555000,0.000000,top
"P6","Pad","PAD-TH",103.035000,54.265000,0.000000,top
